OverTime,TotalWorkingYears,JobRole,Age,JobLevel,MaritalStatus,YearsInCurrentRole,MonthlyIncome,YearsWithCurrManager,YearsAtCompany,StockOptionLevel,BusinessTravel,JobInvolvement,Attrition
No,10,Research Scientist,30,1,Divorced,4,3761,3,5,1,Travel_Frequently,2,No
No,14,Sales Executive,34,3,Single,8,9888,1,14,0,Travel_Rarely,3,No
No,13,Research Scientist,41,1,Divorced,8,2451,8,9,1,Travel_Rarely,3,No
No,34,Research Director,55,5,Married,0,19038,0,1,3,Travel_Rarely,2,No
No,32,Research Director,50,4,Divorced,4,17399,3,5,1,Travel_Rarely,3,No
No,6,Research Scientist,28,1,Divorced,2,2377,2,2,1,Travel_Rarely,3,No
No,9,Sales Executive,32,3,Single,8,8998,7,9,0,Travel_Frequently,3,No
No,6,Sales Executive,33,2,Divorced,0,7104,2,5,0,Travel_Rarely,3,No
Yes,6,Sales Executive,25,2,Divorced,3,4907,4,5,1,Travel_Rarely,3,No
No,2,Research Scientist,58,1,Divorced,2,2372,2,2,2,Travel_Rarely,3,No
Yes,18,Research Scientist,51,1,Married,0,2461,7,10,3,Travel_Rarely,3,Yes
No,10,Laboratory Technician,32,1,Single,7,4025,7,8,0,Non-Travel,3,No
No,12,Sales Executive,32,2,Single,8,5010,7,11,0,Travel_Rarely,3,No
No,21,Manager,48,4,Married,2,15402,2,3,1,Travel_Rarely,2,No
No,0,Research Scientist,27,1,Married,0,1706,0,0,3,Non-Travel,3,No
Yes,4,Laboratory Technician,32,1,Single,2,3730,2,3,0,Travel_Rarely,2,Yes
No,11,Manufacturing Director,31,2,Single,7,4424,8,11,0,Travel_Rarely,3,No
No,6,Research Scientist,43,1,Divorced,3,2645,4,5,2,Travel_Rarely,4,No
Yes,1,Laboratory Technician,29,1,Married,0,2319,0,1,1,Travel_Rarely,2,Yes
No,5,Research Scientist,28,1,Married,2,2070,4,5,1,Travel_Rarely,3,No
No,2,Sales Representative,29,1,Single,2,2760,2,2,0,Travel_Rarely,1,Yes
No,5,Research Scientist,27,1,Single,2,2045,1,4,0,Travel_Rarely,2,No
No,13,Manufacturing Director,31,2,Married,10,4306,12,13,1,Travel_Rarely,3,No
No,22,Manager,41,4,Married,16,16595,8,18,1,Travel_Rarely,3,No
No,6,Laboratory Technician,24,1,Single,3,3597,2,4,0,Travel_Rarely,3,No
No,16,Sales Executive,35,2,Single,13,4312,8,15,0,Travel_Rarely,2,No
No,16,Laboratory Technician,42,2,Single,0,4272,0,1,0,Travel_Rarely,1,No
No,14,Sales Executive,32,3,Married,8,10400,8,14,0,Travel_Rarely,1,Yes
No,11,Manufacturing Director,48,3,Single,9,7898,8,10,0,Travel_Rarely,3,No
Yes,17,Healthcare Representative,36,2,Married,8,6586,11,16,1,Travel_Rarely,3,No
Yes,12,Manufacturing Director,30,2,Single,0,6877,0,0,0,Travel_Rarely,2,No
Yes,22,Sales Executive,40,4,Single,0,13194,0,1,0,Non-Travel,4,Yes
No,3,Sales Representative,33,1,Single,2,2342,2,2,0,Non-Travel,2,No
No,12,Sales Executive,37,3,Single,3,7428,3,5,0,Travel_Rarely,3,No
No,15,Healthcare Representative,35,2,Married,11,4148,9,14,1,Non-Travel,3,No
No,17,Research Scientist,37,1,Single,12,2115,7,17,0,Travel_Rarely,3,No
Yes,8,Sales Executive,26,2,Single,7,5828,4,8,0,Travel_Rarely,2,Yes
No,6,Sales Executive,34,2,Married,5,5714,3,6,0,Travel_Rarely,3,No
No,7,Laboratory Technician,36,1,Divorced,0,2835,0,1,1,Travel_Rarely,3,No
No,3,Research Scientist,21,1,Single,2,3230,0,3,0,Travel_Rarely,2,No
Yes,6,Research Scientist,29,1,Married,4,2168,3,5,1,Travel_Rarely,1,No
No,13,Sales Executive,31,3,Divorced,7,10793,9,13,1,Travel_Rarely,3,No
No,11,Sales Executive,38,2,Divorced,7,6893,7,7,1,Travel_Rarely,3,No
Yes,23,Manager,54,4,Single,3,17328,4,5,0,Non-Travel,4,No
No,7,Research Scientist,33,1,Married,2,2622,1,3,0,Travel_Rarely,2,No
No,2,Laboratory Technician,20,1,Single,2,3033,2,2,0,Travel_Rarely,2,No
No,36,Research Director,54,4,Married,9,17779,9,10,0,Travel_Rarely,3,No
No,20,Sales Executive,47,2,Single,7,4960,7,7,0,Travel_Rarely,3,No
No,6,Research Scientist,34,1,Single,5,4381,3,6,0,Travel_Rarely,2,No
Yes,1,Research Scientist,22,1,Single,0,2472,0,1,0,Travel_Rarely,3,Yes
No,19,Research Director,50,3,Divorced,11,13269,11,14,3,Travel_Rarely,2,No
No,10,Research Scientist,31,2,Married,8,5003,7,10,0,Travel_Frequently,1,No
No,8,Research Scientist,38,1,Single,0,2619,0,0,0,Travel_Rarely,3,No
No,3,Laboratory Technician,34,1,Divorced,2,2661,2,2,1,Travel_Rarely,3,No
No,9,Manufacturing Director,38,2,Married,7,6261,7,7,1,Travel_Rarely,3,No
Yes,17,Manufacturing Director,38,2,Single,7,5980,12,15,0,Travel_Frequently,4,No
No,16,Research Director,34,4,Divorced,8,17007,9,14,2,Travel_Frequently,3,No
No,14,Sales Executive,46,3,Married,7,7314,7,8,3,Travel_Rarely,3,Yes
No,6,Research Scientist,40,1,Divorced,2,3544,0,4,1,Non-Travel,3,No
No,10,Manufacturing Director,36,2,Married,7,5228,5,9,1,Travel_Rarely,3,No
No,7,Research Scientist,26,1,Single,4,3102,4,6,0,Travel_Frequently,3,Yes
No,10,Research Scientist,38,1,Divorced,2,4771,3,5,2,Travel_Rarely,3,No
No,32,Manager,50,5,Married,5,18200,7,32,1,Travel_Frequently,3,No
Yes,4,Research Scientist,29,1,Single,3,2389,1,4,0,Travel_Rarely,2,Yes
Yes,6,Human Resources,26,1,Married,1,2148,4,5,0,Travel_Rarely,3,Yes
No,7,Laboratory Technician,40,1,Married,3,3377,2,4,1,Travel_Rarely,3,No
Yes,24,Healthcare Representative,58,3,Divorced,0,10552,4,6,1,Travel_Rarely,2,No
No,7,Sales Executive,36,2,Single,0,6653,0,1,0,Non-Travel,3,No
No,12,Human Resources,39,2,Married,3,6389,6,8,1,Travel_Rarely,4,No
Yes,6,Research Scientist,33,1,Single,2,2799,2,3,0,Travel_Rarely,2,No
No,10,Sales Executive,34,2,Single,7,5337,7,10,0,Travel_Rarely,4,No
No,4,Manufacturing Director,27,2,Married,2,4227,2,3,1,Travel_Rarely,3,No
No,18,Manufacturing Director,43,3,Married,7,10820,1,8,1,Travel_Frequently,3,No
No,5,Laboratory Technician,50,1,Married,2,3690,2,3,1,Travel_Rarely,2,No
Yes,7,Sales Executive,28,2,Married,7,6834,7,7,1,Travel_Frequently,2,No
No,9,Research Scientist,40,2,Divorced,8,3319,7,9,2,Travel_Rarely,3,No
No,10,Research Director,32,3,Single,7,11159,7,7,0,Travel_Rarely,3,No
No,0,Laboratory Technician,18,1,Single,0,1611,0,0,0,Non-Travel,3,No
No,1,Laboratory Technician,35,1,Married,0,1281,0,1,2,Non-Travel,2,No
No,27,Research Director,49,4,Married,2,16413,2,4,2,Travel_Rarely,3,No
Yes,8,Sales Representative,34,1,Divorced,2,2579,6,8,2,Travel_Rarely,3,No
No,7,Research Scientist,49,1,Married,2,3580,2,4,1,Travel_Rarely,3,No
No,24,Sales Executive,46,3,Divorced,13,10453,7,24,3,Travel_Rarely,3,No
Yes,1,Research Scientist,20,1,Single,0,2600,0,1,0,Travel_Rarely,2,Yes
No,6,Laboratory Technician,31,1,Single,4,3479,4,5,0,Travel_Frequently,2,Yes
No,10,Sales Executive,30,2,Divorced,7,5304,7,8,1,Travel_Rarely,3,No
No,4,Research Scientist,32,1,Single,2,2439,2,4,0,Travel_Rarely,3,No
No,26,Healthcare Representative,49,3,Single,2,10965,0,5,0,Travel_Rarely,2,No
No,2,Sales Representative,20,1,Single,2,2044,2,2,0,Travel_Rarely,2,Yes
No,9,Research Director,39,3,Single,3,13464,2,4,0,Travel_Rarely,3,No
No,26,Manager,53,5,Divorced,7,18606,7,7,1,Travel_Rarely,3,No
No,9,Research Director,31,4,Single,2,16422,0,3,0,Travel_Rarely,3,No
No,4,Laboratory Technician,29,1,Married,2,3180,2,3,3,Travel_Frequently,3,No
No,18,Research Director,42,3,Married,7,13348,7,13,1,Travel_Rarely,3,No
Yes,25,Healthcare Representative,49,4,Single,1,13964,7,7,0,Travel_Rarely,2,No
No,18,Laboratory Technician,36,1,Single,13,2743,14,17,0,Travel_Rarely,4,Yes
No,8,Research Scientist,38,1,Married,2,2821,2,2,1,Travel_Frequently,3,No
No,0,Research Scientist,18,1,Single,0,1051,0,0,0,Non-Travel,3,No
No,8,Sales Executive,38,2,Single,7,4028,5,7,0,Travel_Rarely,2,No
No,26,Manager,53,5,Divorced,13,19094,8,14,1,Travel_Rarely,3,No
No,19,Sales Executive,41,2,Single,2,6151,9,19,0,Non-Travel,1,No
No,32,Manager,57,4,Divorced,0,14118,0,1,1,Travel_Rarely,2,No
No,7,Research Scientist,58,1,Single,0,2479,0,1,0,Travel_Rarely,3,Yes
Yes,10,Sales Executive,35,2,Married,8,5204,9,10,0,Travel_Rarely,3,No
Yes,10,Research Scientist,32,1,Single,2,3919,7,10,0,Travel_Frequently,1,Yes
Yes,11,Sales Executive,33,3,Single,0,8564,0,0,0,Travel_Rarely,3,Yes
Yes,6,Laboratory Technician,27,1,Single,4,2379,2,5,0,Travel_Frequently,3,No
Yes,18,Manufacturing Director,37,2,Single,0,4197,1,1,0,Travel_Rarely,3,No
No,10,Healthcare Representative,28,3,Single,7,8722,9,10,0,Non-Travel,2,Yes
Yes,6,Research Scientist,35,1,Single,4,4930,4,5,0,Travel_Frequently,2,No
No,23,Research Director,51,5,Single,18,19537,15,20,0,Travel_Rarely,3,No
No,17,Manufacturing Director,35,3,Single,5,10221,6,8,0,Travel_Rarely,3,No
No,12,Manufacturing Director,46,3,Divorced,8,8578,7,9,1,Travel_Rarely,3,No
Yes,10,Sales Executive,36,2,Married,9,5673,7,10,1,Travel_Rarely,2,No
No,6,Laboratory Technician,30,1,Single,3,2720,2,5,0,Travel_Rarely,2,No
No,3,Research Scientist,22,1,Married,2,2773,2,2,0,Travel_Rarely,3,No
No,8,Sales Executive,45,2,Single,3,4850,1,5,0,Travel_Rarely,3,No
No,29,Research Director,54,4,Single,7,17328,7,20,0,Travel_Rarely,3,No
No,16,Research Scientist,34,2,Single,13,4809,10,16,0,Travel_Rarely,3,No
No,7,Sales Executive,27,2,Single,7,4105,7,7,0,Travel_Rarely,3,No
Yes,18,Manufacturing Director,36,2,Single,14,5410,12,16,0,Travel_Rarely,3,No
No,8,Sales Executive,26,2,Married,7,5296,7,8,1,Travel_Rarely,3,No
No,21,Manager,42,5,Married,0,18303,0,1,0,Travel_Rarely,3,No
No,10,Research Scientist,34,1,Married,9,2691,8,10,1,Travel_Rarely,3,No
Yes,9,Sales Executive,35,3,Single,7,9582,7,8,0,Travel_Rarely,3,Yes
No,0,Sales Representative,18,1,Single,0,1200,0,0,0,Travel_Rarely,2,No
No,9,Human Resources,45,3,Married,0,9756,3,5,2,Travel_Rarely,1,No
No,1,Research Scientist,21,1,Single,0,2693,0,1,0,Travel_Rarely,3,Yes
Yes,16,Sales Executive,35,3,Married,2,10377,12,13,1,Non-Travel,2,No
No,13,Healthcare Representative,39,3,Married,4,10920,5,6,1,Non-Travel,3,No
Yes,26,Manager,44,5,Married,2,19513,1,2,1,Travel_Rarely,3,No
No,1,Research Scientist,45,1,Single,0,2274,0,1,0,Travel_Rarely,2,No
Yes,20,Laboratory Technician,41,1,Single,13,4721,17,18,0,Travel_Rarely,3,No
No,16,Sales Executive,34,2,Divorced,1,9725,9,15,1,Travel_Rarely,4,No
No,5,Healthcare Representative,40,2,Married,2,4876,2,3,1,Non-Travel,2,No
Yes,5,Research Scientist,40,1,Single,2,2342,3,4,0,Travel_Rarely,2,No
No,4,Research Scientist,22,1,Single,2,3375,2,3,0,Travel_Rarely,3,No
Yes,20,Sales Executive,50,3,Divorced,2,10854,0,3,1,Travel_Rarely,2,Yes
No,10,Sales Executive,38,3,Single,0,7351,0,1,0,Travel_Rarely,3,No
Yes,6,Sales Executive,27,2,Divorced,5,4647,4,6,2,Travel_Frequently,4,No
Yes,10,Sales Executive,35,2,Single,7,5813,7,10,0,Travel_Rarely,3,Yes
No,19,Research Scientist,38,2,Married,11,4735,9,13,2,Travel_Frequently,3,No
No,9,Sales Representative,45,2,Single,7,6632,1,8,0,Travel_Rarely,1,No
No,8,Sales Executive,33,2,Married,4,9998,2,5,0,Travel_Frequently,3,No
No,1,Research Scientist,31,1,Single,0,1261,0,1,0,Travel_Rarely,2,Yes
No,6,Laboratory Technician,34,2,Married,3,4404,2,4,0,Travel_Rarely,4,No
No,1,Sales Representative,35,1,Married,0,2404,0,1,1,Travel_Rarely,3,No
Yes,9,Laboratory Technician,36,2,Married,2,5562,2,3,1,Travel_Frequently,4,No
Yes,9,Sales Executive,40,3,Single,4,9094,0,5,0,Travel_Rarely,2,Yes
No,6,Human Resources,35,1,Single,4,4323,4,5,0,Travel_Rarely,3,No
No,10,Healthcare Representative,38,2,Single,7,7625,8,9,0,Travel_Rarely,4,No
Yes,12,Laboratory Technician,59,1,Married,0,2670,0,1,3,Travel_Rarely,4,No
No,22,Research Director,40,5,Divorced,7,19436,9,21,1,Travel_Rarely,3,No
No,16,Research Scientist,47,2,Married,7,5467,7,8,1,Non-Travel,3,No
No,10,Sales Executive,35,3,Married,8,7295,6,10,2,Travel_Rarely,3,No
No,6,Laboratory Technician,24,1,Married,2,3162,4,5,0,Non-Travel,2,No
No,4,Research Scientist,38,1,Divorced,2,2610,3,4,3,Travel_Frequently,4,No
No,6,Research Scientist,29,1,Married,4,2703,4,5,1,Travel_Rarely,3,No
No,6,Sales Executive,26,2,Single,3,5326,2,4,0,Travel_Rarely,2,Yes
No,16,Laboratory Technician,36,2,Single,11,5914,7,13,0,Travel_Rarely,3,No
No,1,Research Scientist,32,1,Single,0,2956,0,1,0,Travel_Rarely,3,No
No,5,Manufacturing Director,34,2,Single,2,4033,2,3,0,Travel_Frequently,3,No
Yes,18,Manufacturing Director,40,3,Single,2,7945,3,4,0,Travel_Rarely,3,No
No,28,Research Director,49,5,Married,4,19161,3,5,0,Travel_Frequently,3,No
No,31,Manager,52,4,Married,2,16555,4,5,0,Travel_Rarely,3,No
No,2,Laboratory Technician,32,1,Married,2,2743,2,2,1,Travel_Frequently,2,No
No,7,Healthcare Representative,42,2,Married,5,4523,4,6,3,Travel_Frequently,2,No
No,9,Sales Executive,49,3,Married,8,7654,7,9,2,Travel_Rarely,3,Yes
No,1,Sales Representative,21,1,Single,0,2679,0,1,0,Travel_Rarely,3,Yes
No,16,Sales Executive,41,2,Single,3,6230,10,14,0,Non-Travel,3,No
No,25,Sales Executive,47,4,Married,5,12936,10,23,0,Travel_Frequently,1,Yes
No,1,Laboratory Technician,26,1,Divorced,1,2377,0,1,1,Travel_Rarely,3,Yes
No,26,Manager,52,4,Married,8,17099,8,9,1,Travel_Rarely,3,No
No,6,Research Scientist,27,1,Single,2,3445,4,6,0,Travel_Rarely,3,No
Yes,15,Research Scientist,37,2,Married,11,4449,7,13,2,Non-Travel,3,No
No,6,Manufacturing Director,27,2,Married,2,4298,0,2,1,Travel_Frequently,2,No
No,26,Manager,54,4,Divorced,9,16032,12,14,1,Travel_Frequently,3,No
Yes,4,Human Resources,42,1,Divorced,2,2696,0,3,1,Travel_Rarely,3,No
No,10,Healthcare Representative,34,2,Single,1,6142,3,5,0,Travel_Rarely,3,No
Yes,10,Research Scientist,32,2,Single,7,4998,7,8,0,Travel_Frequently,3,No
No,21,Research Director,40,5,Single,7,19626,9,20,0,Travel_Rarely,2,No
Yes,20,Sales Executive,40,3,Married,13,10475,12,18,1,Travel_Frequently,2,No
No,7,Research Scientist,43,1,Single,2,2438,2,3,0,Non-Travel,3,No
No,8,Laboratory Technician,43,1,Married,2,2258,2,3,1,Travel_Frequently,3,No
No,4,Research Scientist,23,1,Married,2,2073,2,2,1,Travel_Rarely,4,No
Yes,28,Manufacturing Director,52,3,Married,4,7969,4,5,0,Travel_Rarely,2,No
No,14,Sales Executive,32,3,Married,10,10422,7,14,2,Travel_Rarely,3,No
Yes,4,Research Scientist,22,1,Divorced,2,2328,2,4,1,Travel_Rarely,4,No
Yes,9,Laboratory Technician,39,2,Married,8,6472,8,9,1,Non-Travel,3,No
No,10,Sales Executive,39,2,Married,2,5736,2,3,1,Non-Travel,1,No
Yes,4,Research Scientist,31,1,Divorced,2,3065,3,4,1,Non-Travel,3,No
No,11,Sales Executive,29,3,Married,8,7336,10,11,1,Travel_Rarely,2,Yes
Yes,16,Manufacturing Director,44,3,Single,2,10209,2,2,0,Travel_Frequently,3,No
No,10,Laboratory Technician,35,1,Married,0,2258,7,8,1,Travel_Rarely,2,No
No,25,Manager,45,5,Married,0,19202,7,24,1,Travel_Rarely,4,No
No,9,Manufacturing Director,27,3,Married,7,7412,7,9,0,Travel_Rarely,3,No
Yes,7,Laboratory Technician,31,1,Married,2,3722,2,2,1,Travel_Frequently,3,Yes
No,10,Laboratory Technician,35,2,Married,9,3407,8,10,2,Travel_Rarely,4,No
No,15,Research Scientist,33,1,Married,10,2781,10,14,1,Travel_Rarely,3,No
No,2,Laboratory Technician,35,1,Married,2,2376,2,2,1,Travel_Frequently,2,No
No,6,Laboratory Technician,32,1,Single,2,2837,1,6,0,Travel_Rarely,2,No
Yes,7,Sales Executive,32,2,Single,2,9907,2,2,0,Travel_Rarely,2,Yes
No,20,Sales Executive,40,3,Divorced,0,10932,1,1,1,Non-Travel,1,No
Yes,4,Research Scientist,29,1,Married,2,4787,2,2,3,Travel_Rarely,3,Yes
No,5,Laboratory Technician,27,1,Divorced,2,3816,4,5,1,Travel_Rarely,3,No
No,3,Sales Representative,31,1,Married,2,2791,2,2,1,Travel_Frequently,4,No
No,9,Laboratory Technician,44,1,Single,2,3708,4,5,0,Non-Travel,1,No
No,4,Research Scientist,27,1,Married,2,2539,2,4,1,Travel_Rarely,2,No
No,7,Laboratory Technician,26,1,Single,7,2570,7,7,0,Non-Travel,3,No
No,5,Laboratory Technician,36,1,Married,4,2810,2,5,0,Non-Travel,4,No
No,3,Laboratory Technician,26,1,Married,2,2305,2,3,3,Travel_Rarely,1,No
No,34,Manager,52,4,Married,6,16856,16,34,0,Travel_Rarely,2,No
No,18,Sales Executive,53,2,Single,7,8381,10,14,0,Travel_Rarely,3,No
Yes,8,Sales Executive,47,2,Single,4,6397,3,5,0,Travel_Frequently,4,Yes
No,10,Research Scientist,32,2,Divorced,5,5470,6,9,2,Travel_Rarely,3,No
No,6,Sales Executive,46,2,Single,2,7991,2,2,0,Non-Travel,2,No
No,1,Human Resources,24,1,Married,0,1555,0,1,1,Travel_Rarely,1,Yes
No,11,Healthcare Representative,35,3,Single,8,8606,3,11,0,Travel_Rarely,2,No
No,6,Research Scientist,28,1,Married,3,3201,4,5,0,Travel_Rarely,2,No
No,7,Manufacturing Director,34,2,Divorced,0,5121,0,0,1,Travel_Rarely,3,No
Yes,24,Sales Executive,55,4,Single,7,13695,8,19,0,Travel_Rarely,4,Yes
Yes,6,Healthcare Representative,33,2,Married,5,5488,2,6,1,Travel_Frequently,4,No
No,1,Laboratory Technician,26,1,Single,0,2293,1,1,0,Travel_Rarely,1,Yes
No,15,Sales Executive,34,2,Single,9,4759,12,13,0,Travel_Rarely,1,No
No,5,Laboratory Technician,41,1,Divorced,3,2289,4,5,2,Travel_Rarely,3,No
Yes,7,Manufacturing Director,49,2,Divorced,7,6804,7,7,2,Non-Travel,3,No
No,8,Laboratory Technician,33,1,Married,4,3838,2,5,0,Travel_Rarely,2,No
Yes,22,Manager,43,4,Married,13,16064,9,17,1,Travel_Rarely,3,No
No,5,Laboratory Technician,36,1,Married,0,3038,0,1,0,Travel_Rarely,4,No
No,13,Research Scientist,57,2,Married,9,4900,8,12,1,Travel_Rarely,4,No
No,4,Sales Executive,29,2,Married,3,4649,2,4,1,Non-Travel,3,No
No,9,Laboratory Technician,45,2,Married,7,4447,8,9,0,Non-Travel,3,No
No,1,Research Scientist,29,1,Divorced,0,2109,0,1,1,Travel_Rarely,2,No
Yes,8,Manufacturing Director,42,2,Married,3,6062,2,4,1,Travel_Rarely,2,No
Yes,1,Sales Representative,33,1,Single,0,2851,0,1,0,Travel_Rarely,3,Yes
No,23,Manager,48,4,Married,2,15202,2,2,1,Travel_Frequently,2,No
Yes,3,Research Scientist,31,1,Single,2,2657,2,2,0,Travel_Rarely,2,No
No,1,Research Scientist,27,1,Single,1,2318,0,1,0,Travel_Rarely,3,No
Yes,3,Research Scientist,40,1,Divorced,1,3617,0,1,1,Travel_Frequently,3,No
No,13,Sales Executive,54,3,Married,4,10686,0,9,1,Travel_Rarely,2,No
No,8,Sales Executive,30,2,Divorced,3,4115,3,4,3,Travel_Rarely,3,No
No,29,Manager,51,4,Married,6,16307,17,20,1,Travel_Rarely,3,No
Yes,7,Laboratory Technician,29,1,Married,7,2119,7,7,0,Travel_Rarely,1,Yes
No,12,Sales Executive,30,3,Married,9,9419,4,10,1,Travel_Rarely,3,No
Yes,6,Research Scientist,37,1,Divorced,3,2782,3,5,2,Travel_Rarely,3,No
No,11,Research Scientist,29,1,Divorced,5,2514,7,7,1,Travel_Rarely,3,No
No,31,Research Director,55,4,Divorced,7,14732,0,7,2,Travel_Rarely,4,No
Yes,29,Manager,58,4,Married,0,17875,0,1,1,Travel_Rarely,3,No
Yes,20,Laboratory Technician,50,1,Married,8,3221,8,20,3,Travel_Rarely,4,No
No,10,Sales Executive,45,2,Married,7,4385,5,10,1,Non-Travel,2,No
No,5,Research Scientist,28,1,Married,2,2713,2,5,1,Travel_Rarely,3,No
No,9,Research Scientist,32,2,Married,5,4087,2,6,1,Non-Travel,3,No
No,22,Manager,41,5,Married,7,19189,10,22,1,Travel_Rarely,2,No
No,8,Manufacturing Director,32,2,Single,0,9679,0,1,0,Travel_Rarely,2,No
No,5,Research Scientist,41,1,Divorced,0,2107,0,1,1,Non-Travel,2,Yes
No,12,Laboratory Technician,30,2,Single,8,4011,7,12,0,Travel_Frequently,3,No
Yes,25,Manager,43,4,Married,12,16959,12,25,2,Travel_Frequently,3,No
No,7,Research Scientist,35,1,Single,2,2506,2,2,0,Travel_Rarely,4,No
No,27,Manager,47,5,Married,2,19658,0,5,1,Travel_Rarely,3,No
No,3,Sales Representative,29,1,Married,1,2157,2,3,1,Travel_Frequently,3,No
Yes,15,Healthcare Representative,36,3,Married,8,8321,7,12,1,Travel_Rarely,3,No
Yes,21,Research Director,53,4,Married,3,17584,3,5,3,Travel_Rarely,3,No
No,10,Healthcare Representative,44,2,Married,0,5033,2,2,1,Travel_Rarely,4,No
No,8,Laboratory Technician,32,1,Married,0,2370,7,8,1,Travel_Rarely,3,No
No,16,Healthcare Representative,35,2,Divorced,0,5093,0,1,1,Non-Travel,3,No
No,10,Research Scientist,37,2,Married,8,4285,7,10,0,Travel_Rarely,3,No
No,23,Healthcare Representative,51,3,Single,12,7484,8,13,0,Travel_Frequently,2,No
Yes,7,Sales Executive,33,2,Divorced,5,5368,2,6,1,Non-Travel,3,No
No,8,Research Scientist,29,1,Divorced,5,3291,1,7,2,Travel_Frequently,3,No
No,15,Healthcare Representative,40,2,Divorced,11,6377,8,12,3,Travel_Rarely,4,No
No,13,Sales Executive,32,2,Married,8,5484,8,13,1,Travel_Rarely,2,No
No,10,Manufacturing Director,42,2,Married,8,4434,8,9,1,Travel_Rarely,3,No
No,9,Sales Executive,37,2,Divorced,0,6334,0,1,2,Travel_Rarely,2,No
No,14,Sales Executive,41,2,Married,4,4393,4,5,1,Travel_Rarely,3,No
No,25,Research Director,48,5,Single,0,18265,0,1,0,Travel_Rarely,2,No
No,10,Sales Executive,45,2,Married,7,5154,7,8,2,Non-Travel,3,No
Yes,10,Manager,47,3,Married,7,11849,9,10,1,Non-Travel,3,Yes
Yes,6,Sales Executive,38,2,Single,3,5666,3,5,0,Non-Travel,3,No
No,10,Healthcare Representative,35,2,Single,1,6540,0,1,0,Travel_Rarely,2,No
Yes,31,Manager,51,5,Divorced,10,19847,10,29,1,Travel_Frequently,3,No
No,21,Manufacturing Director,39,4,Married,6,12742,8,21,1,Travel_Rarely,2,No
No,17,Healthcare Representative,36,3,Divorced,14,10096,8,17,3,Travel_Rarely,3,No
Yes,18,Research Scientist,52,2,Divorced,9,5577,9,10,2,Travel_Rarely,3,No
No,9,Sales Executive,30,3,Married,2,9250,3,4,1,Travel_Rarely,3,No
No,6,Human Resources,30,1,Divorced,2,2180,2,4,1,Travel_Frequently,2,Yes
No,6,Research Scientist,30,1,Married,4,2141,1,6,1,Travel_Rarely,2,No
No,9,Manufacturing Director,30,3,Single,7,9667,2,7,0,Travel_Rarely,3,No
Yes,5,Laboratory Technician,35,1,Married,2,2660,2,2,1,Travel_Rarely,3,No
Yes,10,Sales Executive,31,2,Married,7,5617,8,10,0,Travel_Frequently,3,Yes
No,19,Sales Representative,39,2,Married,0,2086,0,1,1,Travel_Rarely,3,Yes
No,2,Research Scientist,25,1,Single,2,2096,1,2,0,Travel_Rarely,3,No
No,6,Research Scientist,29,1,Single,5,2340,5,6,0,Travel_Rarely,3,No
No,15,Laboratory Technician,34,2,Divorced,8,4444,10,11,2,Travel_Frequently,3,No
No,10,Manager,33,4,Single,8,17444,0,10,0,Non-Travel,3,No
No,10,Manager,35,3,Divorced,7,11996,2,7,1,Travel_Rarely,4,No
